VBR,Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,160.2,199,12,0,3.07,1.13,55,125,50,15,28,31,6,0,0.5,0.0,1.0,7354,LAA 
2,Gerrit Cole ,185.1,232,14,0,3.28,1.09,67,148,48,25,30,28,7,0,0.99,0.99,1.0,4656,NYY 
3,Corbin Burnes ,183.3,214,14,0,3.27,1.13,67,147,51,18,30,28,7,0,0.99,0.99,1.0,7251,MIL 
4,Aaron Nola ,188.0,203,14,0,3.49,1.10,73,159,38,21,30,29,7,0,0.99,0.99,1.0,5682,PHI 
5,Sandy Alcantara ,195.3,174,15,0,3.27,1.14,71,166,49,16,29,30,8,0,0.99,0.99,1.0,7109,MIA 
6,Jacob deGrom ,133.9,181,10,0,2.92,0.96,43,96,29,13,23,25,5,0,0.99,0.99,1.0,4850,TEX 
7,Shane McClanahan ,165.9,185,13,0,3.13,1.13,58,137,46,16,28,26,6,0,0.99,0.99,1.0,7487,TB 
8,Luis Castillo ,181.7,187,14,0,3.21,1.18,65,148,58,16,30,28,7,0,0.99,0.99,0.99,3679,SEA 
9,Max Scherzer ,156.3,186,12,0,3.27,1.08,57,125,35,19,26,24,6,0,0.99,0.99,1.0,3744,NYM 
10,Spencer Strider ,153.1,210,12,0,3.15,1.16,54,116,54,15,28,29,6,0,0.99,0.99,1.0,44282,ATL 
11,Brandon Woodruff ,167.7,189,13,0,3.38,1.14,63,138,46,19,28,26,6,0,0.99,0.99,1.0,6813,MIL 
12,Julio Urias ,171.6,163,13,0,3.45,1.13,66,147,39,19,29,26,7,0,0.99,0.99,1.0,4922,LAD 
13,Zack Wheeler ,175.3,175,14,0,3.39,1.19,66,159,43,17,29,28,7,0,0.99,0.99,0.99,4603,PHI 
14,Shane Bieber ,179.0,179,14,0,3.47,1.19,69,165,42,20,29,29,7,0,0.99,0.99,1.0,7178,CLE 
15,Justin Verlander ,138.1,155,11,0,3.20,1.07,49,110,31,16,23,21,5,0,0.99,0.99,0.99,3623,NYM 
16,Max Fried ,171.5,156,14,0,3.37,1.21,64,161,40,15,29,27,7,0,0.98,0.98,0.98,4729,ATL 
17,Kevin Gausman ,164.5,186,13,0,3.64,1.17,66,151,37,20,29,26,7,0,0.99,0.99,0.99,4671,TOR 
18,Dylan Cease ,171.1,205,13,0,3.60,1.24,68,136,68,20,29,26,7,0,0.99,0.99,1.0,6848,CWS 
19,Zac Gallen ,170.0,174,13,0,3.60,1.21,68,144,53,18,28,26,7,0,0.98,0.98,0.97,7245,ARI 
20,Cristian Javier ,161.2,197,12,0,3.69,1.20,66,122,65,22,29,31,6,0,0.98,0.99,0.98,10002,HOU 
21,Robbie Ray ,176.5,198,14,0,3.93,1.22,77,151,58,28,30,27,14,0,0.95,0.95,0.95,5484,SEA 
22,Framber Valdez ,178.8,168,14,0,3.28,1.33,65,163,64,12,29,29,7,0,0.99,0.99,0.99,7627,HOU 
23,Nestor Cortes Jr. ,153.1,154,12,0,3.65,1.15,62,131,41,22,26,24,6,0,0.97,0.97,0.96,7375,NYY 
24,Carlos Rodon ,119.6,153,9,0,3.23,1.12,43,92,36,12,21,23,5,0,0.95,0.96,0.95,5674,NYY 
25,Logan Webb ,182.8,157,15,0,3.68,1.28,75,177,49,14,31,29,7,0,0.97,0.97,0.98,8146,SF 
26,Alek Manoah ,175.8,168,14,0,3.76,1.26,74,155,53,22,29,28,7,0,0.99,0.99,0.99,19812,TOR 
27,George Kirby ,149.0,141,12,0,3.56,1.19,59,141,31,16,28,30,6,0,0.9,0.92,0.88,20405,SEA 
28,Yu Darvish ,168.3,173,13,0,3.94,1.21,74,150,45,22,28,27,7,0,0.99,0.99,0.99,3965,SD 
29,Clayton Kershaw ,119.9,128,9,0,3.27,1.09,44,102,25,13,20,18,5,0,0.96,0.98,0.95,3215,LAD 
30,Joe Ryan ,158.9,157,12,0,3.88,1.18,68,135,45,21,28,31,12,0,0.88,0.9,0.85,43688,MIN 
31,Logan Gilbert ,169.5,162,14,0,3.96,1.24,75,159,45,22,30,27,7,0,0.95,0.95,0.95,7453,SEA 
32,Pablo Lopez ,159.0,158,13,0,3.75,1.26,66,145,46,17,28,25,6,0,0.92,0.9,0.94,7289,MIN 
33,Joe Musgrove ,153.0,150,12,0,3.72,1.24,63,137,43,18,26,24,6,0,0.93,0.95,0.91,5883,SD 
34,Emmanuel Clase ,61.9,63,2,33,2.37,1.04,16,49,13,3,62,0,2,0,0.99,0.99,0.99,27356,CLE 
35,Luis Garcia ,155.0,152,12,0,3.92,1.21,67,135,47,22,27,24,6,0,0.88,0.86,0.91,43720,HOU 
36,Andrew Heaney ,133.1,158,10,0,3.81,1.18,56,113,38,19,25,26,10,0,0.48,0.62,0.34,4678,TEX 
37,Drew Rasmussen ,153.8,136,12,0,3.72,1.24,64,142,44,17,29,31,6,0,0.86,0.9,0.83,43665,TB 
38,Jordan Montgomery ,165.0,146,13,0,3.86,1.26,71,158,45,19,30,33,7,0,0.86,0.85,0.86,7062,STL 
39,Blake Snell ,138.1,171,11,0,3.78,1.26,58,113,58,16,25,27,5,0,0.95,0.96,0.94,5835,SD 
40,Tyler Glasnow ,105.0,136,8,0,3.34,1.15,39,81,36,12,18,20,4,0,0.87,0.92,0.82,4587,TB 
41,Lance Lynn ,156.0,153,12,0,4.03,1.24,70,147,41,22,27,25,12,0,0.92,0.93,0.91,3661,CWS 
42,Chris Bassitt ,166.3,144,13,0,3.96,1.27,73,155,46,21,28,27,7,0,0.82,0.79,0.84,5554,TOR 
43,Charlie Morton ,157.0,176,13,0,3.95,1.32,69,139,56,19,28,25,6,0,0.91,0.92,0.91,3181,ATL 
44,Jeffrey Springs ,140.3,144,11,0,3.83,1.24,60,129,40,19,27,28,6,0,0.91,0.95,0.88,8051,TB 
45,Freddy Peralta ,127.7,139,10,0,3.74,1.22,53,103,47,15,25,25,5,0,0.89,0.94,0.84,7274,MIL 
46,Luis Severino ,121.4,125,9,0,3.61,1.19,49,104,36,14,22,23,5,0,0.84,0.92,0.76,5244,NYY 
47,Josh Hader ,55.9,80,2,31,3.08,1.10,19,38,21,6,56,0,2,0,0.98,0.99,0.98,5047,SD 
48,Hunter Greene ,151.8,189,12,0,4.16,1.31,70,135,56,23,28,30,12,0,0.91,0.93,0.9,6871,CIN 
49,Lucas Giolito ,162.3,167,13,0,4.19,1.30,76,150,55,22,29,26,13,0,0.92,0.93,0.91,4723,CWS 
50,Jose Berrios ,163.8,143,13,0,4.18,1.27,76,158,42,22,29,26,7,0,0.7,0.62,0.78,5722,TOR 
51,Kyle Wright ,158.0,144,13,0,3.95,1.32,69,151,50,17,27,25,6,0,0.88,0.94,0.81,6922,ATL 
52,Ryan Helsley ,63.2,79,2,26,3.03,1.14,21,46,24,6,60,0,2,0,0.93,0.98,0.88,7481,STL 
53,Devin Williams ,59.7,82,2,27,2.83,1.19,19,42,26,4,59,0,2,0,0.97,0.98,0.97,27766,MIL 
54,Felix Bautista ,60.2,78,2,27,2.94,1.16,20,43,24,5,59,0,2,0,0.94,0.98,0.9,45019,BAL 
55,Alex Cobb ,143.3,136,11,0,3.69,1.33,59,140,45,12,26,29,11,0,0.51,0.57,0.45,3034,SF 
56,Patrick Sandoval ,152.3,151,12,0,3.84,1.35,65,141,59,16,28,24,6,0,0.7,0.8,0.6,8031,LAA 
57,Jon Gray ,155.5,156,12,0,4.07,1.31,70,144,52,20,29,25,12,0,0.69,0.73,0.64,4933,TEX 
58,Miles Mikolas ,177.5,128,14,0,4.17,1.29,82,179,40,23,29,28,7,0,0.66,0.81,0.51,5408,STL 
59,Chris Sale ,125.3,140,10,0,3.81,1.27,53,114,37,15,24,25,10,0,0.84,0.88,0.8,3207,BOS 
60,Tyler Mahle ,150.3,147,12,0,4.12,1.30,69,139,51,20,27,24,6,0,0.53,0.34,0.71,6637,MIN 
61,Marcus Stroman ,164.0,135,7,0,3.78,1.29,69,160,46,17,29,26,13,0,0.72,0.82,0.62,4796,CHC 
62,Jose Urquidy ,153.5,125,12,0,4.29,1.23,73,150,35,24,27,25,6,0,0.46,0.71,0.21,22917,HOU 
63,Jordan Romano ,59.8,68,2,30,3.26,1.18,22,48,20,6,58,0,2,0,0.97,0.99,0.94,7647,TOR 
64,David Bednar ,60.6,73,2,28,3.25,1.17,22,50,19,6,58,0,2,0,0.81,0.95,0.66,8451,PIT 
65,Ryan Pressly ,52.5,62,2,28,3.05,1.12,18,44,13,5,53,0,2,0,0.94,0.98,0.89,5361,HOU 
66,Dustin May ,119.5,122,10,0,3.78,1.27,50,107,38,13,29,24,5,0,0.84,0.92,0.76,7413,LAD 
67,Andres Munoz ,58.9,82,2,11,2.45,1.06,16,39,21,4,59,0,2,0,0.8,0.91,0.7,24281,SEA 
68,Sonny Gray ,133.0,132,11,0,3.91,1.31,58,120,47,14,26,27,11,0,0.47,0.68,0.26,4755,MIN 
69,Nick Lodolo ,152.8,175,6,0,3.91,1.32,66,137,53,18,27,24,12,0,0.91,0.92,0.91,6953,CIN 
70,Nathan Eovaldi ,142.3,130,6,0,3.93,1.23,62,138,31,20,25,23,6,0,0.6,0.59,0.62,4423,TEX 
71,Grayson Rodriguez ,104.8,110,8,0,3.64,1.22,42,89,33,11,20,20,8,0,0.46,0.7,0.22,7924,BAL 
72,Triston McKenzie ,109.2,110,8,0,3.87,1.19,47,91,34,16,18,17,4,0,0.9,0.92,0.88,39295,CLE 
73,Raisel Iglesias ,51.0,61,2,25,3.12,1.10,18,42,12,5,51,0,2,0,0.9,0.96,0.84,5589,ATL 
74,Brady Singer ,171.8,155,7,0,3.94,1.33,75,166,52,18,29,27,14,0,0.86,0.86,0.86,6811,KC 
75,Tyler Anderson ,165.5,132,7,0,4.14,1.25,76,162,40,23,28,26,7,0,0.72,0.76,0.69,5636,LAA 
76,Martin Perez ,166.8,134,13,0,4.08,1.36,76,164,57,18,29,27,13,0,0.44,0.54,0.34,3501,TEX 
77,Zach Eflin ,140.5,115,6,0,3.91,1.23,61,136,30,16,25,22,6,0,0.33,0.47,0.2,6146,TB 
78,Pete Fairbanks ,54.9,72,4,17,3.04,1.17,19,43,19,4,55,0,2,0,0.59,0.87,0.31,19909,TB 
79,Camilo Doval ,63.2,71,2,29,3.36,1.33,24,52,29,4,63,0,2,0,0.9,0.96,0.84,43997,SF 
80,Reid Detmers ,151.3,152,12,0,4.30,1.34,72,142,54,20,29,30,12,0,0.58,0.69,0.47,43840,LAA 
