Team,batter,player_name
LAA,405395,Albert Pujols
LAA,592743,Andrelton Simmons
LAA,571718,Brian Goodwin
LAA,608717,Chris Stratton
LAA,592102,Cody Allen
LAA,664058,David Fletcher
LAA,518960,Jonathan Lucroy
LAA,571506,Justin Bour
LAA,607345,Kevan Smith
LAA,594777,Kole Calhoun
LAA,545361,Mike Trout
LAA,488721,Peter Bourjos
LAA,621493,Taylor Ward
LAA,600303,Tommy La Stella
LAA,572140,Tyler Skaggs
LAA,446359,Zack Cozart
HOU,649557,Aledmys Diaz
HOU,608324,Alex Bregman
HOU,621043,Carlos Correa
HOU,543807,George Springer
HOU,545350,Jake Marisnick
HOU,514888,Jose Altuve
HOU,502210,Josh Reddick
HOU,545358,Max Stassi
HOU,488726,Michael Brantley
HOU,455139,Robinson Chirinos
HOU,643393,Tony Kemp
HOU,643603,Tyler White
HOU,493329,Yuli Gurriel
OAK,640461,Chad Pinder
OAK,572033,Josh Phegley
OAK,595777,Jurickson Profar
OAK,434778,Kendrys Morales
OAK,501981,Khris Davis
OAK,543760,Marcus Semien
OAK,592192,Mark Canha
OAK,656305,Matt Chapman
OAK,460026,Nick Hundley
OAK,657656,Ramon Laureano
OAK,543257,Robbie Grossman
OAK,572039,Stephen Piscotty
TOR,593700,Alen Hanson
TOR,546990,Anthony Alford
TOR,641856,Billy McKinney
TOR,592273,Brandon Drury
TOR,643376,Danny Jansen
TOR,520471,Freddy Galvis
TOR,475253,Justin Smoak
TOR,607680,Kevin Pillar
TOR,666971,Lourdes Gurriel Jr.
TOR,571912,Luke Maile
TOR,545341,Randal Grichuk
TOR,620446,Richard Urena
TOR,642133,Rowdy Tellez
TOR,593647,Socrates Brito
TOR,606192,Teoscar Hernandez
ATL,656577,Alex Jackson
ATL,435263,Brian McCann
ATL,669060,Bryse Wilson
ATL,656977,Chad Sobotka
ATL,518586,Charlie Culberson
ATL,621020,Dansby Swanson
ATL,542255,Ender Inciarte
ATL,518692,Freddie Freeman
ATL,622666,Johan Camargo
ATL,518626,Josh Donaldson
ATL,527054,Julio Teheran
ATL,592332,Kevin Gausman
ATL,657140,Kyle Wright
ATL,459964,Matt Joyce
ATL,608331,Max Fried
ATL,455976,Nick Markakis
ATL,645277,Ozzie Albies
ATL,660670,Ronald Acuna Jr.
ATL,656794,Sean Newcomb
ATL,641438,Shane Carle
ATL,657053,Touki Toussaint
ATL,452095,Tyler Flowers
MIL,592325,Ben Gamel
MIL,605540,Brandon Woodruff
MIL,502624,Chase Anderson
MIL,592885,Christian Yelich
MIL,669203,Corbin Burnes
MIL,519346,Eric Thames
MIL,642547,Freddy Peralta
MIL,541650,Hernan Perez
MIL,542583,Jesus Aguilar
MIL,468504,Jhoulys Chacin
MIL,623352,Josh Hader
MIL,456715,Lorenzo Cain
MIL,444489,Manny Pina
MIL,519058,Mike Moustakas
MIL,606115,Orlando Arcia
MIL,460075,Ryan Braun
MIL,543768,Travis Shaw
MIL,518735,Yasmani Grandal
MIL,605200,Zach Davies
STL,425794,Adam Wainwright
STL,641712,Dakota Hudson
STL,451594,Dexter Fowler
STL,592685,Drew Robinson
STL,606149,Giovanny Gallegos
STL,664056,Harrison Bader
STL,656427,Jack Flaherty
STL,576397,Jedd Gyorko
STL,607231,John Gant
STL,500874,Jose Martinez
STL,543939,Kolten Wong
STL,542303,Marcell Ozuna
STL,572761,Matt Carpenter
STL,446308,Matt Wieters
STL,608379,Michael Wacha
STL,571945,Miles Mikolas
STL,657557,Paul DeJong
STL,502671,Paul Goldschmidt
STL,641933,Tyler O'Neill
STL,425877,Yadier Molina
STL,622168,Yairo Munoz
CHC,546991,Albert Almora Jr.
CHC,519203,Anthony Rizzo
CHC,450314,Ben Zobrist
CHC,542960,Brad Brach
CHC,430935,Cole Hamels
CHC,518614,Daniel Descalso
CHC,623520,David Bote
CHC,518792,Jason Heyward
CHC,595879,Javier Baez
CHC,452657,Jon Lester
CHC,500779,Jose Quintana
CHC,592178,Kris Bryant
CHC,543294,Kyle Hendricks
CHC,656941,Kyle Schwarber
CHC,657145,Mark Zagunis
CHC,600968,Randy Rosario
CHC,518553,Steve Cishek
CHC,605170,Victor Caratini
CHC,575929,Willson Contreras
CHC,506433,Yu Darvish
ARI,430945,Adam Jones
ARI,488671,Alex Avila
ARI,543376,Caleb Joseph
ARI,608348,Carson Kelly
ARI,572233,Christian Walker
ARI,444482,David Peralta
ARI,500871,Eduardo Escobar
ARI,545121,Ildemaro Vargas
ARI,571875,Jake Lamb
ARI,502481,Jarrod Dyson
ARI,571974,John Ryan Murphy
ARI,641541,Jon Duplantier
ARI,606466,Ketel Marte
ARI,596133,Luke Weaver
ARI,542882,Matt Andriese
ARI,571863,Matt Koch
ARI,518876,Merrill Kelly
ARI,605113,Nick Ahmed
ARI,592662,Robbie Ray
ARI,641796,Tim Locastro
ARI,527038,Wilmer Flores
ARI,643327,Zack Godley
ARI,425844,Zack Greinke
LAD,572041,A.J. Pollock
LAD,657077,Alex Verdugo
LAD,605131,Austin Barnes
LAD,592779,Brock Stewart
LAD,621035,Chris Taylor
LAD,477132,Clayton Kershaw
LAD,641355,Cody Bellinger
LAD,608369,Corey Seager
LAD,501896,David Freese
LAD,642701,Dennis Santana
LAD,571771,Enrique Hernandez
LAD,547943,Hyun-Jin Ryu
LAD,592626,Joc Pederson
LAD,523260,Joe Kelly
LAD,628711,Julio Urias
LAD,457759,Justin Turner
LAD,445276,Kenley Jansen
LAD,628317,Kenta Maeda
LAD,571970,Max Muncy
LAD,502570,Rocky Gale
LAD,548389,Ross Stripling
LAD,431145,Russell Martin
LAD,621111,Walker Buehler
SF,474832,Brandon Belt
SF,543063,Brandon Crawford
SF,457763,Buster Posey
SF,656582,Connor Joe
SF,605446,Dereck Rodriguez
SF,502706,Derek Holland
SF,519141,Drew Pomeranz
SF,456124,Erik Kratz
SF,446334,Evan Longoria
SF,467827,Gerardo Parra
SF,502188,Jeff Samardzija
SF,605412,Joe Panik
SF,607680,Kevin Pillar
SF,518516,Madison Bumgarner
SF,605439,Michael Reed
SF,467055,Pablo Sandoval
SF,621453,Steven Duggar
SF,592122,Tyler Austin
SF,500208,Yangervis Solarte
CLE,543543,Brad Miller
CLE,471865,Carlos Gonzalez
CLE,467793,Carlos Santana
CLE,608715,Eric Stamets
CLE,656185,Greg Allen
CLE,434670,Hanley Ramirez
CLE,641343,Jake Bauers
CLE,543401,Jason Kipnis
CLE,656669,Jordan Luplow
CLE,608070,Jose Ramirez
CLE,608700,Kevin Plawecki
CLE,547982,Leonys Martin
CLE,621559,Max Moroff
CLE,547379,Roberto Perez
CLE,571980,Tyler Naquin
SEA,596129,Daniel Vogelbach
SEA,571679,David Freitas
SEA,543829,Dee Gordon
SEA,570267,Domingo Santana
SEA,664238,Dylan Moore
SEA,429665,Edwin Encarnacion
SEA,457803,Jay Bruce
SEA,605480,Mallex Smith
SEA,571745,Mitch Haniger
SEA,553882,Omar Narvaez
SEA,592387,Ryon Healy
SEA,542921,Tim Beckham
SEA,608596,Tom Murphy
MIA,621573,Austin Dean
MIA,605119,Brian Anderson
MIA,592761,Caleb Smith
MIA,595453,Chad Wallach
MIA,434158,Curtis Granderson
MIA,643265,Garrett Cooper
MIA,595375,JT Riddle
MIA,595751,Jorge Alfaro
MIA,570632,Jose Urena
MIA,621446,Lewis Brinson
MIA,445988,Martin Prado
MIA,500743,Miguel Rojas
MIA,435522,Neil Walker
MIA,641154,Pablo Lopez
MIA,598284,Peter O'Brien
MIA,594011,Rosell Herrera
MIA,645261,Sandy Alcantara
MIA,516770,Starlin Castro
MIA,670950,Trevor Richards
NYM,642708,Amed Rosario
NYM,607043,Brandon Nimmo
NYM,621261,Corey Oswalt
NYM,642086,Dominic Smith
NYM,605204,J.D. Davis
NYM,594798,Jacob deGrom
NYM,450306,Jason Vargas
NYM,643446,Jeff McNeil
NYM,501571,Juan Lagares
NYM,542979,Keon Broxton
NYM,641645,Luis Guillorme
NYM,624424,Michael Conforto
NYM,592789,Noah Syndergaard
NYM,624413,Pete Alonso
NYM,429664,Robinson Cano
