Rank,Player,Team,Best,Worst,Avg,StdDev,ADP,pit,bat,RP,C,3B,2B,SS,1B,OF,SP
1,Ronald Acuna Jr.,ATL ,1,1,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0
2,Bobby Witt Jr.,KC ,2,7,2.8,1.1,3.0,0.0,1.0,0,0,0,0,1,0,0,0
3,Julio Rodriguez,SEA ,2,6,2.9,0.8,6.0,0.0,1.0,0,0,0,0,0,0,1,0
4,Corbin Carroll,ARI ,2,9,4.6,1.3,5.0,0.0,1.0,0,0,0,0,0,0,1,0
5,Mookie Betts,LAD ,2,7,4.7,1.2,2.0,0.0,1.0,0,0,0,1,1,0,1,0
6,Kyle Tucker,HOU ,4,15,6.6,1.3,4.0,0.0,1.0,0,0,0,0,0,0,1,0
7,Fernando Tatis Jr.,SD ,4,29,8.1,3.5,11.0,0.0,1.0,0,0,0,0,0,0,1,0
8,Freddie Freeman,LAD ,5,17,9.0,1.5,7.0,0.0,1.0,0,0,0,0,0,1,0,0
9,Aaron Judge,NYY ,3,15,10.0,2.2,10.0,0.0,1.0,0,0,0,0,0,0,1,0
10,Juan Soto,NYY ,5,18,10.2,1.8,8.0,0.0,1.0,0,0,0,0,0,0,1,0
11,Spencer Strider,ATL ,5,29,11.4,4.0,9.0,1.0,0.0,0,0,0,0,0,0,0,1
12,Shohei Ohtani,LAD ,3,33,13.2,4.3,12.0,1.0,1.0,0,0,0,0,0,0,0,1
13,Trea Turner,PHI ,6,29,13.6,4.0,17.0,0.0,1.0,0,0,0,0,1,0,0,0
14,Jose Ramirez,CLE ,9,21,14.1,2.3,14.0,0.0,1.0,0,0,1,0,0,0,0,0
15,Matt Olson,ATL ,7,17,14.8,1.9,15.0,0.0,1.0,0,0,0,0,0,1,0,0
16,Gerrit Cole,NYY ,10,31,16.0,4.0,13.0,1.0,0.0,0,0,0,0,0,0,0,1
17,Yordan Alvarez,HOU ,11,22,16.1,2.6,16.0,0.0,1.0,0,0,0,0,0,0,1,0
18,Bryce Harper,PHI ,14,27,18.3,2.5,18.0,0.0,1.0,0,0,0,0,0,1,0,0
19,Austin Riley,ATL ,12,23,18.8,1.2,19.0,0.0,1.0,0,0,1,0,0,0,0,0
20,Rafael Devers,BOS ,18,29,21.4,2.2,20.0,0.0,1.0,0,0,1,0,0,0,0,0
