Rank,Player,Team,Best,Worst,Avg,StdDev,ADP,pit,bat,RP,C,3B,2B,SS,1B,OF,SP
1,Ronald Acuna Jr.,ATL ,1,1,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,1,0
2,Bobby Witt Jr.,KC ,2,7,2.6,0.9,3.0,0.0,1.0,0,0,0,0,1,0,0,0
3,Julio Rodriguez,SEA ,2,5,3.0,0.8,2.0,0.0,1.0,0,0,0,0,0,0,1,0
4,Mookie Betts,LAD ,2,10,4.6,1.2,4.0,0.0,1.0,0,0,0,1,1,0,1,0
5,Corbin Carroll,ARI ,2,22,6.2,2.7,5.0,0.0,1.0,0,0,0,0,0,0,1,0
6,Kyle Tucker,HOU ,4,9,6.3,0.8,7.0,0.0,1.0,0,0,0,0,0,0,1,0
7,Fernando Tatis Jr.,SD ,4,16,7.6,1.8,10.0,0.0,1.0,0,0,0,0,0,0,1,0
8,Freddie Freeman,LAD ,3,17,8.6,1.6,6.0,0.0,1.0,0,0,0,0,0,1,0,0
9,Juan Soto,NYY ,5,18,9.2,1.5,8.0,0.0,1.0,0,0,0,0,0,0,1,0
10,Spencer Strider,ATL ,2,29,10.1,3.8,9.0,1.0,0.0,0,0,0,0,0,0,0,1
11,Shohei Ohtani,LAD ,3,24,10.8,2.8,12.0,1.0,1.0,0,0,0,0,0,0,0,1
12,Aaron Judge,NYY ,3,49,11.9,3.0,11.0,0.0,1.0,0,0,0,0,0,0,1,0
13,Trea Turner,PHI ,6,29,13.8,3.8,13.0,0.0,1.0,0,0,0,0,1,0,0,0
14,Matt Olson,ATL ,7,21,14.6,1.6,14.0,0.0,1.0,0,0,0,0,0,1,0,0
15,Jose Ramirez,CLE ,11,21,14.6,2.4,15.0,0.0,1.0,0,0,1,0,0,0,0,0
16,Yordan Alvarez,HOU ,11,22,14.9,2.4,16.0,0.0,1.0,0,0,0,0,0,0,1,0
17,Bryce Harper,PHI ,10,24,17.6,2.5,17.0,0.0,1.0,0,0,0,0,0,1,0,0
18,Austin Riley,ATL ,12,23,18.1,1.6,18.0,0.0,1.0,0,0,1,0,0,0,0,0
19,Rafael Devers,BOS ,14,29,20.3,2.0,19.0,0.0,1.0,0,0,1,0,0,0,0,0
20,Corbin Burnes,BAL ,12,48,21.6,5.2,20.0,1.0,0.0,0,0,0,0,0,0,0,1
21,Ozzie Albies,ATL ,14,35,22.7,3.8,21.0,0.0,1.0,0,0,0,1,0,0,0,0
22,Francisco Lindor,NYM ,13,43,24.0,4.7,23.0,0.0,1.0,0,0,0,0,1,0,0,0
23,Pete Alonso,NYM ,15,43,24.3,3.5,22.0,0.0,1.0,0,0,0,0,0,1,0,0
24,Zack Wheeler,PHI ,17,47,24.8,3.2,26.0,1.0,0.0,0,0,0,0,0,0,0,1
25,Marcus Semien,TEX ,13,35,25.0,3.6,25.0,0.0,1.0,0,0,0,1,0,0,0,0
26,Vladimir Guerrero Jr.,TOR ,18,42,27.8,4.8,28.0,0.0,1.0,0,0,0,0,0,1,0,0
27,Corey Seager,TEX ,14,51,28.6,6.3,24.0,0.0,1.0,0,0,0,0,1,0,0,0
28,Luis Robert Jr.,CWS ,17,40,29.3,4.1,29.0,0.0,1.0,0,0,0,0,0,0,1,0
29,Michael Harris II,ATL ,15,39,29.4,4.4,33.0,0.0,1.0,0,0,0,0,0,0,1,0
30,Gunnar Henderson,BAL ,22,56,31.8,4.5,30.0,0.0,1.0,0,0,1,0,1,0,0,0
31,Luis Castillo,SEA ,23,71,32.4,5.6,32.0,1.0,0.0,0,0,0,0,0,0,0,1
32,Bo Bichette,TOR ,21,79,34.0,6.7,36.0,0.0,1.0,0,0,0,0,1,0,0,0
33,Pablo Lopez,MIN ,27,54,35.3,4.7,38.0,1.0,0.0,0,0,0,0,0,0,0,1
34,Jose Altuve,HOU ,22,48,35.9,5.1,35.0,0.0,1.0,0,0,0,1,0,0,0,0
35,Elly De La Cruz,CIN ,18,93,35.9,11.8,27.0,0.0,1.0,0,0,1,0,1,0,0,0
36,George Kirby,SEA ,26,63,37.3,7.8,40.0,1.0,0.0,0,0,0,0,0,0,0,1
37,Randy Arozarena,TB ,21,57,37.7,4.8,41.0,0.0,1.0,0,0,0,0,0,0,1,0
38,Kevin Gausman,TOR ,18,66,38.6,9.3,31.0,1.0,0.0,0,0,0,0,0,0,0,1
39,Adolis Garcia,TEX ,24,69,39.7,6.3,39.0,0.0,1.0,0,0,0,0,0,0,1,0
40,Zac Gallen,ARI ,27,73,41.6,7.6,37.0,1.0,0.0,0,0,0,0,0,0,0,1
41,Yoshinobu Yamamoto,LAD ,22,71,43.9,8.0,34.0,1.0,0.0,0,0,0,0,0,0,0,1
42,CJ Abrams,WSH ,15,92,46.8,15.3,45.0,0.0,1.0,0,0,0,0,1,0,0,0
43,Logan Webb,SF ,32,62,47.1,5.8,46.0,1.0,0.0,0,0,0,0,0,0,0,1
44,Tyler Glasnow,LAD ,25,108,47.2,10.3,43.0,1.0,0.0,0,0,0,0,0,0,0,1
45,Tarik Skubal,DET ,34,65,47.3,7.1,47.0,1.0,0.0,0,0,0,0,0,0,0,1
46,Manny Machado,SD ,35,79,49.6,10.6,51.0,0.0,1.0,0,0,1,0,0,0,0,0
47,Aaron Nola,PHI ,26,107,51.2,8.7,48.0,1.0,0.0,0,0,0,0,0,0,0,1
48,Mike Trout,LAA ,29,79,52.9,8.7,50.0,0.0,1.0,0,0,0,0,0,0,1,0
49,Royce Lewis,MIN ,39,72,53.3,8.6,56.0,0.0,1.0,0,0,1,0,0,0,0,0
50,Freddy Peralta,MIL ,38,68,54.6,6.1,57.0,1.0,0.0,0,0,0,0,0,0,0,1
51,Josh Hader,HOU ,40,99,54.9,9.8,52.0,1.0,0.0,1,0,0,0,0,0,0,0
52,Cody Bellinger,CHC ,26,94,55.1,10.4,54.0,0.0,1.0,0,0,0,0,0,1,1,0
53,Nolan Jones,COL ,35,93,55.3,10.9,53.0,0.0,1.0,0,0,0,0,0,1,1,0
54,Framber Valdez,HOU ,33,101,56.1,12.8,55.0,1.0,0.0,0,0,0,0,0,0,0,1
55,Adley Rutschman,BAL ,40,98,56.1,9.5,44.0,0.0,1.0,0,1,0,0,0,0,0,0
56,Paul Goldschmidt,STL ,41,93,56.1,10.0,59.0,0.0,1.0,0,0,0,0,0,1,0,0
57,Edwin Diaz,NYM ,38,147,56.8,12.5,58.0,1.0,0.0,1,0,0,0,0,0,0,0
58,Max Fried,ATL ,34,94,57.2,10.7,49.0,1.0,0.0,0,0,0,0,0,0,0,1
59,Jazz Chisholm Jr.,MIA ,29,108,58.8,10.8,64.0,0.0,1.0,0,0,0,0,0,0,1,0
60,Christian Yelich,MIL ,36,77,62.5,8.0,70.0,0.0,1.0,0,0,0,0,0,0,1,0
61,Emmanuel Clase,CLE ,43,97,64.3,10.6,61.0,1.0,0.0,1,0,0,0,0,0,0,0
62,Oneil Cruz,PIT ,38,138,64.8,14.6,65.0,0.0,1.0,0,0,0,0,1,0,0,0
63,Logan Gilbert,SEA ,48,88,66.5,8.6,67.0,1.0,0.0,0,0,0,0,0,0,0,1
