Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,PlayerId,Team
Ronald Acuna Jr. ,585,129,38,101,53,0.314,0.397,184,34,2,80,107,0.576,0.973,6966 d,ATL 
Aaron Judge ,523,106,46,112,7,0.274,0.39,144,23,0,99,171,0.582,0.972,4955 d,NYY 
Shohei Ohtani ,526,101,39,107,19,0.278,0.377,146,28,5,84,151,0.57,0.947,7354 d,LAD 
Fernando Tatis Jr. ,584,104,35,97,29,0.274,0.345,160,34,2,63,146,0.519,0.864,6853 d,SD 
Julio Rodriguez ,603,101,32,94,33,0.28,0.336,169,33,3,50,157,0.504,0.839,43685 ,SEA 
Bobby Witt Jr. ,607,99,29,90,41,0.278,0.324,169,33,7,41,121,0.498,0.822,6810 d,KC 
Kyle Tucker ,572,97,31,105,25,0.282,0.362,161,34,4,71,96,0.52,0.881,6006 d,HOU 
Juan Soto ,530,109,37,102,11,0.279,0.422,148,27,2,130,112,0.543,0.965,6906 d,NYY 
Freddie Freeman ,589,109,26,95,14,0.304,0.383,179,41,2,75,110,0.514,0.897,3365 d,LAD 
Mookie Betts ,575,114,33,97,13,0.283,0.373,163,37,2,82,107,0.527,0.9,4921 d,LAD 
Yordan Alvarez ,508,98,38,109,1,0.298,0.39,151,31,2,77,117,0.592,0.982,6461 d,HOU 
Matt Olson ,567,102,41,114,1,0.266,0.365,151,29,1,88,148,0.537,0.901,5718 d,ATL 
Corbin Carroll ,572,102,23,81,42,0.276,0.347,158,30,9,62,134,0.48,0.828,23993 ,ARI 
Austin Riley ,595,99,37,106,2,0.279,0.342,166,32,2,57,159,0.525,0.867,6022 d,ATL 
Jose Ramirez ,579,93,27,95,25,0.279,0.357,162,37,4,70,76,0.501,0.858,5288 d,CLE 
Rafael Devers ,579,95,35,102,4,0.282,0.349,163,36,1,60,124,0.527,0.876,5175 d,BOS 
Vladimir Guerrero Jr. ,583,92,33,101,6,0.284,0.358,166,32,1,67,99,0.51,0.869,6050 d,TOR 
Trea Turner ,614,97,23,84,28,0.282,0.332,173,34,4,45,133,0.466,0.797,5828 d,PHI 
Bryce Harper ,529,95,29,92,13,0.284,0.388,150,34,2,90,135,0.52,0.908,4293 d,PHI 
Pete Alonso ,565,89,40,110,4,0.249,0.327,141,24,1,65,139,0.508,0.835,6960 d,NYM 
Ozzie Albies ,587,94,27,93,14,0.274,0.326,161,33,4,45,109,0.484,0.81,5980 d,ATL 
Luis Robert Jr. ,566,86,31,90,19,0.269,0.311,152,33,1,34,159,0.499,0.809,6935 d,CWS 
Corey Seager ,515,88,30,90,2,0.296,0.365,152,33,1,56,95,0.54,0.905,4805 d,TEX 
Michael Harris II ,562,87,22,81,24,0.286,0.327,161,35,3,35,121,0.476,0.803,43924 ,ATL 
Bo Bichette ,601,88,23,86,12,0.292,0.332,176,35,2,36,127,0.473,0.806,6808 d,TOR 
Marcus Semien ,610,100,27,86,15,0.264,0.332,161,34,3,61,111,0.463,0.795,4544 d,TEX 
Francisco Lindor ,580,91,27,89,21,0.253,0.325,147,28,2,62,126,0.447,0.772,4569 d,NYM 
Randy Arozarena ,559,89,24,81,26,0.26,0.338,146,29,3,65,155,0.448,0.786,6962 d,TB 
Jose Altuve ,554,98,24,76,14,0.275,0.349,152,31,1,62,101,0.468,0.817,4334 d,HOU 
Manny Machado ,558,83,29,94,7,0.268,0.336,150,28,1,57,116,0.479,0.816,3778 d,SD 
Adolis Garcia ,574,88,32,96,14,0.243,0.304,140,28,2,50,181,0.467,0.771,6901 d,TEX 
Kyle Schwarber ,548,99,41,98,4,0.222,0.344,122,21,1,101,193,0.488,0.832,5686 d,PHI 
Mike Trout ,490,87,34,89,3,0.264,0.358,129,25,2,72,160,0.529,0.886,3785 d,LAA 
Paul Goldschmidt ,570,91,26,87,8,0.268,0.356,153,30,1,78,149,0.461,0.817,4403 d,STL 
Gunnar Henderson ,553,92,26,83,12,0.261,0.338,144,29,6,65,155,0.477,0.816,23372 ,BAL 
Nolan Jones ,517,82,24,80,16,0.268,0.355,139,29,4,70,171,0.476,0.831,10128 ,COL 
Gleyber Torres ,560,83,24,80,13,0.27,0.338,151,27,1,58,109,0.453,0.791,5133 d,NYY 
Bryan Reynolds ,570,86,24,83,9,0.269,0.34,153,30,4,61,137,0.461,0.801,6818 d,PIT 
