VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Juan Soto ,28,6,2,5,1,0.276,0.42,8,1,0,6,5,0.54,0.96,0.99,0.99,1.0,6906 d,NYM 
2,Pete Crow-Armstrong ,32,6,2,5,2,0.249,0.327,8,2,0,3,9,0.469,0.796,0.99,0.99,1.0,23369 ,CHC 
3,Fernando Tatis Jr. ,32,5,2,4,2,0.265,0.346,9,2,0,4,7,0.461,0.807,0.99,0.99,1.0,6853 d,SD 
4,Bobby Witt Jr. ,32,5,1,5,2,0.273,0.342,9,2,0,3,6,0.456,0.798,0.99,0.99,1.0,6810 d,KC 
5,Yordan Alvarez ,27,5,2,5,0,0.316,0.436,8,2,0,5,5,0.622,1.058,0.99,0.99,1.0,6461 d,HOU 
6,Aaron Judge ,23,5,2,5,0,0.281,0.419,7,1,0,5,7,0.601,1.02,0.95,0.95,0.95,4955 d,NYY 
7,Jose Ramirez ,31,5,1,5,2,0.263,0.353,8,2,0,4,4,0.442,0.795,0.99,0.98,0.99,5288 d,CLE 
8,Jackson Chourio ,32,5,1,5,1,0.27,0.323,9,2,0,2,7,0.458,0.781,0.98,0.99,0.97,44592 ,MIL 
9,Elly De La Cruz ,30,5,1,4,2,0.259,0.335,8,2,0,3,9,0.452,0.787,0.99,0.99,0.99,44884 ,CIN 
10,Junior Caminero ,36,5,2,6,0,0.261,0.329,9,2,0,3,7,0.493,0.822,0.99,0.99,1.0,45016 ,TB 
11,CJ Abrams ,33,5,1,5,2,0.253,0.326,8,2,0,3,8,0.424,0.749,0.98,0.98,0.97,19879 ,WSH 
12,Cody Bellinger ,34,5,1,5,1,0.256,0.322,9,2,0,3,6,0.42,0.743,0.97,0.97,0.97,6045 d,NYY 
13,Miguel Vargas ,30,5,1,5,1,0.248,0.344,8,2,0,4,6,0.438,0.782,0.95,0.95,0.95,8301 d,CWS 
14,Konnor Griffin ,30,4,1,4,2,0.258,0.325,8,1,0,2,8,0.399,0.724,0.49,0.67,0.32,7354367,PIT 
15,Matt Olson ,32,5,2,5,0,0.261,0.353,8,2,0,4,9,0.511,0.864,0.99,0.99,0.99,5718 d,ATL 
16,Pete Alonso ,32,5,2,5,0,0.25,0.342,8,1,0,4,9,0.485,0.827,0.98,0.99,0.97,6960 d,BAL 
17,Jake McCarthy ,28,4,1,3,2,0.268,0.32,8,1,0,2,5,0.424,0.744,0.81,0.83,0.79,8273 d,COL 
18,James Wood ,31,5,1,5,1,0.258,0.366,8,2,0,5,10,0.459,0.825,0.99,0.99,0.99,44720 ,WSH 
19,Michael Harris II ,33,4,1,5,1,0.27,0.301,9,2,0,1,6,0.44,0.742,0.93,0.96,0.91,43924 ,ATL 
20,Ronald Acuna Jr. ,29,5,1,4,1,0.257,0.36,8,1,0,4,7,0.427,0.787,0.99,0.99,0.98,6966 d,ATL 
21,Ben Rice ,33,5,2,5,0,0.241,0.334,8,1,0,4,8,0.471,0.805,0.99,0.99,1.0,47445 ,NYY 
22,Kevin McGonigle ,30,5,1,4,1,0.256,0.349,8,1,0,4,5,0.413,0.761,0.95,0.94,0.95,47220 ,DET 
23,Corbin Carroll ,30,5,1,4,1,0.251,0.341,8,1,1,4,7,0.474,0.814,0.99,0.99,1.0,23993 ,ARI 
24,Bryce Harper ,29,5,1,5,0,0.257,0.36,8,2,0,4,7,0.451,0.811,0.99,0.99,0.99,4293 d,PHI 
25,Julio Rodriguez ,33,5,1,5,1,0.246,0.304,8,1,0,3,8,0.404,0.709,0.96,0.98,0.94,43685 ,SEA 
26,Yandy Diaz ,35,5,1,4,0,0.285,0.351,10,2,0,3,6,0.435,0.786,0.94,0.96,0.93,6677 d,TB 
27,Sal Stewart ,31,4,1,5,1,0.26,0.329,8,2,0,3,7,0.443,0.771,0.96,0.95,0.96,46342 ,CIN 
28,Jeremy Pena ,29,4,1,4,1,0.266,0.329,8,1,0,2,6,0.425,0.755,0.74,0.85,0.63,43642 ,HOU 
29,Kyle Schwarber ,31,5,2,5,0,0.213,0.335,7,1,0,5,11,0.459,0.794,0.99,0.99,1.0,5686 d,PHI 
30,Luke Keaschall ,27,4,1,3,1,0.277,0.365,8,1,0,3,5,0.423,0.789,0.68,0.79,0.57,47176 ,MIN 
31,Ketel Marte ,30,5,1,5,0,0.266,0.343,8,2,0,3,5,0.455,0.799,0.97,0.96,0.98,5179 d,ARI 
32,Alec Burleson ,32,4,1,5,0,0.267,0.33,9,2,0,3,6,0.433,0.763,0.96,0.95,0.97,43889 ,STL 
33,Francisco Lindor ,32,5,1,4,1,0.239,0.322,8,1,0,3,7,0.397,0.719,0.92,0.96,0.88,4569 d,NYM 
34,Trea Turner ,32,5,1,4,1,0.254,0.302,8,1,0,2,7,0.4,0.702,0.9,0.97,0.84,5828 d,PHI 
35,Oneil Cruz ,30,4,1,4,2,0.225,0.316,7,1,0,4,10,0.39,0.706,0.9,0.96,0.83,39199 ,PIT 
36,Munetaka Murakami ,28,5,2,5,0,0.227,0.356,6,1,0,5,11,0.49,0.845,0.86,0.91,0.82,7356360,CWS 
37,Jackson Merrill ,33,4,1,5,1,0.24,0.29,8,1,0,2,8,0.398,0.688,0.94,0.97,0.91,44756 ,SD 
38,Randy Arozarena ,29,5,1,4,1,0.243,0.343,7,1,0,4,8,0.409,0.753,0.96,0.98,0.94,6962 d,SEA 
39,Josh Naylor ,31,4,1,4,1,0.259,0.322,8,1,0,3,5,0.399,0.721,0.75,0.86,0.63,6054 d,SEA 
40,Daylen Lile ,31,4,1,4,1,0.255,0.308,8,1,0,2,6,0.416,0.724,0.7,0.75,0.64,44757 ,WSH 
41,Maikel Garcia ,29,4,1,3,1,0.277,0.344,8,2,0,3,5,0.421,0.765,0.59,0.64,0.55,44626 ,KC 
42,Henry Bolte ,25,4,1,3,1,0.261,0.337,7,1,0,2,9,0.426,0.763,0.27,0.43,0.12,46304 ,ATH 
43,Mookie Betts ,30,5,1,4,0,0.257,0.332,8,1,0,3,4,0.419,0.751,0.96,0.97,0.95,4921 d,LAD 
44,Kyle Tucker ,30,5,1,4,1,0.227,0.327,7,1,0,4,5,0.383,0.71,0.95,0.96,0.94,6006 d,LAD 
45,Wyatt Langford ,30,5,1,4,1,0.228,0.324,7,1,0,4,7,0.394,0.718,0.74,0.87,0.61,47238 ,TEX 
46,Bo Bichette ,32,4,1,4,0,0.285,0.332,9,2,0,2,6,0.435,0.766,0.84,0.92,0.76,6808 d,NYM 
47,Chandler Simpson ,30,4,0,2,3,0.28,0.319,8,1,0,2,3,0.323,0.642,0.61,0.7,0.52,46426 ,TB 
48,Jordan Walker ,32,4,1,4,1,0.251,0.305,8,2,0,2,9,0.416,0.721,0.95,0.95,0.94,43830 ,STL 
49,Zack Gelof ,28,4,1,4,1,0.233,0.3,7,1,0,3,9,0.404,0.705,0.38,0.49,0.26,44896 ,ATH 
50,Otto Lopez ,30,4,1,3,1,0.27,0.318,8,1,0,2,5,0.402,0.72,0.93,0.93,0.94,10618 ,MIA 
51,Cal Raleigh ,28,4,2,5,0,0.225,0.328,6,1,0,4,9,0.485,0.813,0.9,0.95,0.85,8457 d,SEA 
52,Zach Neto ,31,5,1,4,1,0.236,0.321,7,2,0,3,10,0.415,0.736,0.8,0.98,0.61,46294 ,LAA 
53,Gunnar Henderson ,31,5,1,4,1,0.239,0.319,7,2,0,3,8,0.407,0.726,0.93,0.96,0.9,23372 ,BAL 
54,Hunter Goodman ,26,4,2,4,0,0.236,0.295,6,1,0,2,8,0.477,0.771,0.89,0.95,0.84,45393 ,COL 
55,Vladimir Guerrero Jr. ,29,4,1,4,0,0.288,0.371,8,2,0,4,4,0.462,0.833,0.93,0.95,0.91,6050 d,TOR 
56,Drake Baldwin ,29,4,1,4,0,0.262,0.338,8,1,0,3,6,0.422,0.759,0.97,0.97,0.97,46737 ,ATL 
57,Dansby Swanson ,29,4,1,4,1,0.223,0.296,7,1,0,3,8,0.374,0.67,0.46,0.6,0.31,5965 d,CHC 
58,Brice Turang ,29,4,1,4,1,0.254,0.333,7,1,0,3,8,0.397,0.73,0.99,0.99,0.98,6817 d,MIL 
59,Jarren Duran ,29,4,1,4,1,0.235,0.294,7,2,0,2,8,0.4,0.693,0.72,0.79,0.65,10054 ,BOS 
60,Lawrence Butler ,29,4,1,4,1,0.229,0.308,7,1,0,3,8,0.392,0.7,0.35,0.54,0.16,45753 ,ATH 
61,Manny Machado ,32,4,1,5,0,0.237,0.309,8,1,0,3,7,0.406,0.715,0.95,0.97,0.94,3778 d,SD 
62,Jonathan Aranda ,32,4,1,5,0,0.251,0.346,8,1,0,4,9,0.398,0.744,0.61,0.84,0.38,45018 ,TB 
63,Freddie Freeman ,30,4,1,4,0,0.278,0.359,8,2,0,3,6,0.448,0.807,0.96,0.97,0.94,3365 d,LAD 
64,Brandon Nimmo ,30,4,1,4,0,0.253,0.327,8,1,0,3,7,0.41,0.738,0.68,0.71,0.65,4685 d,TEX 
65,Bryan Reynolds ,30,4,1,4,0,0.266,0.343,8,2,0,3,8,0.429,0.772,0.89,0.92,0.86,6818 d,PIT 
66,Gabriel Moreno ,26,4,1,4,0,0.284,0.361,7,1,0,3,5,0.449,0.81,0.76,0.77,0.74,44003 ,ARI 
67,Cole Carrigg ,30,4,1,4,1,0.244,0.301,7,1,0,2,8,0.4,0.701,0.18,0.22,0.14,47210 ,COL 
68,Esteury Ruiz ,23,3,1,2,3,0.231,0.309,5,1,0,2,7,0.374,0.683,0.02,0.02,0.01,10086 ,MIA 
69,Jung Hoo Lee ,30,3,1,3,1,0.273,0.323,8,2,0,2,3,0.412,0.734,0.36,0.22,0.5,48275 ,SF 
70,Andres Gimenez ,26,3,1,3,1,0.258,0.316,7,1,0,1,5,0.399,0.716,0.1,0.11,0.08,7049 d,TOR 
71,Seiya Suzuki ,29,5,1,4,0,0.241,0.332,7,1,0,4,8,0.414,0.746,0.92,0.94,0.89,6973 d,CHC 
72,Riley Greene ,29,4,1,5,0,0.252,0.334,7,1,0,3,9,0.425,0.759,0.9,0.97,0.83,19457 ,DET 
73,Ty France ,31,4,1,4,0,0.245,0.316,8,1,0,2,7,0.392,0.708,0.22,0.3,0.14,8163 d,SD 
74,Corey Seager ,27,4,1,4,0,0.242,0.33,7,1,0,3,6,0.422,0.752,0.77,0.9,0.63,4805 d,TEX 
75,William Contreras ,27,4,1,4,0,0.272,0.355,7,1,0,3,5,0.434,0.789,0.98,0.98,0.98,7659 d,MIL 
76,Daulton Varsho ,27,4,1,4,1,0.224,0.284,6,1,0,2,7,0.393,0.677,0.14,0.19,0.08,7551 d,HOU 
77,Caleb Durbin ,29,4,1,3,1,0.259,0.332,7,1,0,2,4,0.407,0.739,0.39,0.37,0.4,45944 ,BOS 
78,Jackson Holliday ,29,4,1,3,1,0.227,0.308,7,1,0,3,8,0.371,0.678,0.23,0.22,0.23,46268 ,BAL 
79,JJ Wetherholt ,29,4,1,3,1,0.255,0.349,7,1,0,3,6,0.402,0.751,0.79,0.86,0.72,7354366,STL 
