Player,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,PlayerId,Team
Spencer Strider ,179.3,255,15,0,3.28,1.07,65,134,58,21,30,30,6,0,44282 ,ATL 
Gerrit Cole ,196.1,219,13,0,3.58,1.12,78,167,51,27,32,31,8,2,4656 d,NYY 
Kevin Gausman ,185.2,213,13,0,3.48,1.15,72,165,48,23,31,31,8,0,4671 d,TOR 
Zack Wheeler ,189.2,195,13,0,3.51,1.14,74,168,47,21,31,31,8,1,4603 d,PHI 
George Kirby ,184.8,173,13,0,3.58,1.11,73,175,30,22,31,31,9,1,20405 ,SEA 
Luis Castillo ,189.0,202,13,0,3.55,1.16,75,163,57,23,31,31,9,0,3679 d,SEA 
Logan Webb ,194.1,172,13,0,3.42,1.18,74,186,42,16,31,31,9,1,8146 d,SF 
Pablo Lopez ,185.4,204,12,0,3.59,1.15,74,163,50,21,31,31,9,1,7289 d,MIN 
Corbin Burnes ,188.3,201,12,0,3.57,1.16,75,160,58,21,31,31,8,0,7251 d,BAL 
Framber Valdez ,189.6,188,14,0,3.42,1.22,72,168,62,17,30,30,8,2,7627 d,HOU 
Aaron Nola ,188.5,198,12,0,3.83,1.13,80,172,41,26,31,31,9,1,5682 d,PHI 
Zac Gallen ,188.5,191,13,0,3.68,1.18,77,170,52,23,31,31,9,1,7245 d,ARI 
Yoshinobu Yamamoto ,171.0,175,13,0,3.73,1.12,71,148,43,22,28,28,7,3,48250 ,LAD 
Zach Eflin ,167.6,162,12,0,3.59,1.12,67,157,30,20,30,29,8,0,6146 d,TB 
Max Fried ,167.7,159,13,0,3.39,1.18,63,156,42,16,29,29,6,1,4729 d,ATL 
Tarik Skubal ,153.0,175,10,0,3.41,1.12,58,130,41,16,28,28,8,0,43633 ,DET 
Logan Gilbert ,185.2,181,12,0,3.82,1.16,79,171,45,26,31,31,9,0,7453 d,SEA 
