VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Shohei Ohtani ,371,72,26,72,15,0.286,0.39,106,21,4,55,98,0.57,0.96,1.0,0.0,1.0,7354 d,LAD 
2,Bobby Witt Jr. ,409,70,19,61,30,0.284,0.338,116,23,6,30,79,0.507,0.845,0.99,0.99,1.0,6810 d,KC 
3,Kyle Tucker ,391,70,23,70,17,0.277,0.37,108,23,2,54,68,0.524,0.894,0.99,0.99,1.0,6006 d,HOU 
4,Aaron Judge ,356,69,30,75,5,0.271,0.397,96,17,0,67,112,0.575,0.972,0.99,0.99,1.0,4955 d,NYY 
5,Mookie Betts ,385,75,20,62,11,0.287,0.383,110,24,2,56,63,0.517,0.9,0.99,0.99,1.0,4921 d,LAD 
6,Juan Soto ,359,72,24,67,7,0.283,0.421,101,18,1,80,71,0.542,0.963,0.99,0.99,1.0,6906 d,NYY 
7,Fernando Tatis Jr. ,385,67,22,62,17,0.268,0.343,103,21,2,41,95,0.501,0.844,0.99,0.99,1.0,6853 d,SD 
8,Jose Ramirez ,389,62,19,66,17,0.275,0.361,107,24,3,42,51,0.502,0.862,0.99,0.99,1.0,5288 d,CLE 
9,Yordan Alvarez ,349,63,24,69,1,0.289,0.391,101,21,1,49,78,0.558,0.949,0.99,0.99,1.0,6461 d,HOU 
10,Julio Rodriguez ,401,61,18,57,23,0.272,0.335,109,21,2,31,106,0.467,0.802,0.98,0.99,0.96,43685 ,SEA 
11,Freddie Freeman ,384,66,15,61,8,0.297,0.394,114,26,2,50,71,0.491,0.884,0.99,0.99,1.0,3365 d,LAD 
12,Rafael Devers ,387,62,23,69,3,0.279,0.364,108,24,1,42,86,0.522,0.886,0.99,0.99,0.98,5175 d,BOS 
13,Gunnar Henderson ,403,70,22,62,10,0.26,0.343,105,19,5,47,111,0.494,0.837,0.99,0.99,1.0,23372 ,BAL 
14,Vladimir Guerrero Jr. ,390,60,20,64,4,0.282,0.367,110,21,1,47,69,0.491,0.858,0.99,0.99,0.98,6050 d,TOR 
15,Elly De La Cruz ,377,61,15,51,34,0.246,0.317,93,19,4,37,130,0.438,0.755,0.99,0.99,0.99,44884 ,CIN 
16,Matt Olson ,391,65,25,72,1,0.259,0.363,101,20,1,57,104,0.51,0.872,0.99,0.99,1.0,5718 d,ATL 
