Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
Juan Soto ,524,118,35,108,12,0.311,0.457,163,30,3,140,101,0.581,1.038,0.99,0.99,1.0,6906,WSH 
Vladimir Guerrero Jr. ,571,111,43,115,3,0.304,0.387,173,31,2,78,105,0.591,0.978,0.99,0.99,1.0,6050,TOR 
Trea Turner ,608,109,27,91,31,0.304,0.356,185,35,5,49,114,0.512,0.868,0.99,0.99,1.0,5828,LAD 
Jose Ramirez ,565,104,36,106,25,0.274,0.36,155,36,4,76,93,0.546,0.906,0.99,0.99,1.0,5288,CLE 
Bryce Harper ,538,108,38,104,13,0.283,0.405,152,35,2,111,150,0.566,0.971,0.99,0.99,1.0,4293,PHI 
Ronald Acuna Jr. ,483,107,36,85,23,0.282,0.377,136,27,2,74,139,0.569,0.947,0.99,0.99,1.0,6966,ATL 
Bo Bichette ,606,104,29,95,20,0.291,0.338,176,35,2,44,129,0.498,0.836,0.99,0.99,1.0,6808,TOR 
Freddie Freeman ,575,110,32,102,6,0.299,0.389,172,34,2,85,109,0.532,0.921,0.99,0.99,1.0,3365,LAD 
Mookie Betts ,579,116,30,88,17,0.281,0.37,163,36,3,81,103,0.512,0.881,0.99,0.99,1.0,4921,LAD 
Matt Olson ,562,100,43,116,3,0.267,0.361,150,30,0,82,135,0.55,0.91,0.99,0.98,1.0,5718,ATL 
Rafael Devers ,591,101,37,108,5,0.28,0.344,165,38,2,57,138,0.538,0.882,0.99,0.99,1.0,5175,BOS 
Aaron Judge ,558,100,40,103,5,0.279,0.37,155,26,0,81,167,0.54,0.91,0.99,0.99,1.0,4955,NYY 
Mike Trout ,507,103,37,99,8,0.279,0.404,142,27,3,106,148,0.567,0.971,0.99,0.99,1.0,3785,LAA 
Kyle Tucker ,552,92,32,98,17,0.283,0.35,156,34,4,57,110,0.534,0.884,0.99,0.99,1.0,6006,HOU 
Manny Machado ,587,94,33,104,11,0.279,0.35,164,30,2,64,108,0.508,0.858,0.99,0.99,1.0,3778,SD 
Yordan Alvarez ,542,92,37,110,2,0.281,0.355,153,32,2,62,145,0.552,0.907,0.99,0.99,1.0,6461,HOU 
