VBR,Player,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BB,SO,SLG,OPS,Rost,Yahoo,ESPN,PlayerId,Team
1,Mookie Betts ,38,8,3,6,1,0.274,0.349,10,3,0,4,7,0.549,0.898,0.99,0.99,1.0,4921,LAD 
2,Aaron Judge ,27,6,3,6,1,0.311,0.417,8,1,0,5,8,0.687,1.105,0.99,0.99,1.0,4955,NYY 
3,Julio Rodriguez ,32,5,2,5,2,0.278,0.341,9,1,0,3,8,0.495,0.836,0.92,0.91,0.93,43685,SEA 
4,Adolis Garcia ,36,5,2,6,2,0.251,0.301,9,2,0,2,12,0.459,0.76,0.89,0.91,0.88,6901,TEX 
5,Freddie Freeman ,29,5,1,5,1,0.331,0.415,10,2,0,3,5,0.524,0.939,0.99,0.99,1.0,3365,LAD 
6,Marcus Semien ,39,6,1,5,2,0.25,0.304,10,2,0,3,8,0.431,0.735,0.99,0.98,1.0,4544,TEX 
7,Nathaniel Lowe ,35,4,2,5,0,0.308,0.367,11,2,0,3,9,0.505,0.872,0.83,0.85,0.81,7914,TEX 
8,Trea Turner ,30,5,1,5,1,0.304,0.35,9,2,0,2,6,0.482,0.831,0.99,0.99,1.0,5828,LAD 
9,Paul Goldschmidt ,23,5,2,5,0,0.322,0.412,7,2,0,3,6,0.598,1.009,0.99,0.99,1.0,4403,STL 
10,Jose Ramirez ,28,4,1,6,1,0.279,0.364,8,2,0,3,5,0.529,0.892,0.99,0.99,1.0,5288,CLE 
11,Eugenio Suarez ,34,5,2,6,0,0.235,0.337,8,2,0,5,11,0.469,0.806,0.68,0.76,0.6,5332,SEA 
12,Ronald Acuna Jr. ,24,4,1,3,2,0.273,0.367,7,1,0,3,7,0.447,0.814,0.99,0.98,1.0,6966,ATL 
13,Pete Alonso ,25,4,2,5,0,0.269,0.351,7,1,0,3,6,0.505,0.857,0.99,0.99,1.0,6960,NYM 
14,Corey Seager ,36,5,2,5,0,0.241,0.32,9,1,0,4,7,0.447,0.767,0.98,0.97,0.99,4805,TEX 
15,Yordan Alvarez ,19,4,2,4,0,0.3,0.404,6,1,0,3,5,0.616,1.019,0.99,0.99,1.0,6461,HOU 
16,Manny Machado ,27,5,1,5,0,0.295,0.372,8,2,0,3,5,0.526,0.898,0.99,0.99,1.0,3778,SD 
17,Mitch Haniger ,34,5,2,5,0,0.242,0.314,8,1,0,3,9,0.444,0.758,0.68,0.67,0.7,6481,SEA 
18,Mike Trout ,21,4,2,4,0,0.276,0.391,6,1,0,3,6,0.609,0.999,0.99,0.99,1.0,3785,LAA 
19,Austin Riley ,25,4,2,4,0,0.277,0.351,7,2,0,2,7,0.546,0.897,0.99,0.99,1.0,6022,ATL 
20,Kyle Schwarber ,31,5,2,5,0,0.214,0.313,7,1,0,4,10,0.484,0.797,0.98,0.97,0.99,5686,PHI 
21,Randy Arozarena ,27,3,1,4,2,0.262,0.33,7,2,0,2,8,0.447,0.777,0.97,0.98,0.96,6962,TB 
22,Jose Abreu ,28,4,1,4,0,0.311,0.387,9,2,0,3,7,0.453,0.84,0.98,0.97,0.98,4594,CWS 
23,Willy Adames ,25,4,2,5,0,0.239,0.304,6,1,0,2,8,0.473,0.777,0.92,0.91,0.92,5988,MIL 
24,Cedric Mullins II ,28,4,1,3,2,0.263,0.324,7,2,0,2,6,0.406,0.73,0.98,0.97,0.99,7400,BAL 
25,Jean Segura ,31,4,1,3,1,0.281,0.336,9,1,0,2,5,0.417,0.753,0.64,0.51,0.76,4179,PHI 
26,Francisco Lindor ,26,4,1,4,1,0.267,0.346,7,1,0,3,5,0.444,0.79,0.99,0.99,1.0,4569,NYM 
27,Dansby Swanson ,26,4,1,4,1,0.281,0.336,7,1,0,2,7,0.441,0.777,0.97,0.96,0.98,5965,ATL 
28,Rhys Hoskins ,31,4,2,4,0,0.25,0.338,8,2,0,4,8,0.469,0.807,0.92,0.9,0.93,6744,PHI 
29,Salvador Perez ,27,3,2,5,0,0.251,0.291,7,1,0,1,7,0.469,0.761,0.95,0.97,0.94,4147,KC 
30,Christian Yelich ,27,5,1,3,1,0.262,0.367,7,1,0,4,7,0.392,0.758,0.96,0.95,0.98,4596,MIL 
31,J.T. Realmuto ,27,4,1,4,1,0.265,0.339,7,1,0,2,7,0.458,0.796,0.99,0.98,1.0,5371,PHI 
32,Bobby Witt Jr. ,27,4,1,4,1,0.248,0.29,7,1,0,1,7,0.436,0.726,0.96,0.96,0.97,6810,KC 
33,Rafael Devers ,26,4,1,4,0,0.287,0.354,8,2,0,2,6,0.524,0.878,0.99,0.99,1.0,5175,BOS 
34,Michael Harris II ,21,4,1,3,1,0.284,0.334,6,1,0,1,0,0.497,0.831,0.88,0.89,0.87,43924,ATL 
